Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.91,30096.0,27377.06,25121.53,2255.53,0.0,anyang
2018-01-14,1.73,29468.36,27075.36,23926.76,3148.6,0.0,anyang
2018-01-21,1.82,26704.98,23996.63,21985.03,2011.6,0.0,anyang
2018-01-28,1.72,30846.35,29203.25,27876.23,1327.02,0.0,anyang
2018-02-04,1.83,28934.01,26416.94,20660.94,5756.0,0.0,anyang
2018-02-11,1.85,24728.12,22924.99,19367.62,3557.37,0.0,anyang
2018-02-18,1.83,27960.77,26345.92,22938.29,3407.63,0.0,anyang
2018-02-25,1.79,31567.3,29141.59,25069.34,4072.25,0.0,anyang
2018-03-04,1.92,23890.64,21628.75,18636.4,2992.35,0.0,anyang
2018-03-11,1.85,30476.66,28353.87,22732.95,5620.92,0.0,anyang
2018-03-18,1.83,34809.9,32333.11,25094.65,7238.46,0.0,anyang
2018-03-25,1.74,38441.23,36382.44,29466.95,6915.49,0.0,anyang
