Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.25,11449.3,8423.53,8423.53,0.0,0.0,asan
2018-01-14,1.32,10308.41,8774.62,8744.72,29.9,0.0,asan
2018-01-21,1.31,8566.64,7443.58,7418.31,25.27,0.0,asan
2018-01-28,1.26,8251.66,7468.81,7468.81,0.0,0.0,asan
2018-02-04,1.21,8320.22,7677.82,7677.82,0.0,0.0,asan
2018-02-11,1.25,8859.53,6813.21,6813.21,0.0,0.0,asan
2018-02-18,1.29,7658.93,6794.81,6794.81,0.0,0.0,asan
2018-02-25,1.34,7115.37,6020.77,6007.44,13.33,0.0,asan
2018-03-04,1.01,17987.77,10144.07,10144.07,0.0,0.0,asan
2018-03-11,1.32,8381.09,7143.57,7143.57,0.0,0.0,asan
2018-03-18,1.33,9211.25,7844.02,7815.81,28.21,0.0,asan
2018-03-25,1.34,8539.23,7164.36,7162.69,1.67,0.0,asan
