Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.08,28741.11,22239.19,22132.06,107.13,0.0,busan
2018-01-07,1.95,156341.57,57340.87,57271.15,69.72,0.0,busan
2018-01-14,1.45,19522.15,12129.51,12116.18,13.33,0.0,busan
2018-01-14,1.61,216681.04,69073.69,69054.51,19.18,0.0,busan
2018-01-21,1.69,181974.98,83049.94,83022.84,27.1,0.0,busan
2018-01-21,1.62,12422.7,6705.76,6703.12,2.64,0.0,busan
2018-01-28,1.87,170998.81,82570.3,82563.11,7.19,0.0,busan
2018-01-28,1.76,12432.58,5512.89,5080.46,432.43,0.0,busan
2018-02-04,1.56,188212.98,89582.48,89527.66,54.82,0.0,busan
2018-02-04,1.89,13273.93,7857.98,7613.73,244.25,0.0,busan
2018-02-11,1.92,11216.56,5325.45,5176.75,148.7,0.0,busan
2018-02-11,1.85,168311.26,81376.34,81344.22,32.12,0.0,busan
2018-02-18,1.83,12417.57,6284.74,5981.3,303.44,0.0,busan
2018-02-18,1.97,167193.75,65470.77,65435.09,35.68,0.0,busan
2018-02-25,1.91,11946.22,5731.84,5667.58,64.26,0.0,busan
2018-02-25,1.82,179041.72,66320.47,66273.89,46.58,0.0,busan
2018-03-04,1.57,239135.67,136938.03,136877.43,60.6,0.0,busan
2018-03-04,1.88,11882.61,4996.07,4621.84,374.23,0.0,busan
2018-03-11,1.73,13697.68,6584.2,6511.53,72.67,0.0,busan
2018-03-11,1.58,236822.98,120484.22,120465.39,18.83,0.0,busan
2018-03-18,1.75,202790.74,102870.5,102717.5,153.0,0.0,busan
2018-03-18,1.75,11986.57,5941.73,5801.28,140.45,0.0,busan
2018-03-25,1.77,12030.96,5887.59,5792.37,95.22,0.0,busan
2018-03-25,1.7,190257.38,89631.19,89424.11,207.08,0.0,busan
