Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.45,21286.58,16811.19,14157.14,2654.05,0.0,gangeung
2018-01-14,1.54,25628.61,19871.66,16878.39,2993.27,0.0,gangeung
2018-01-21,1.5,24032.87,19427.99,17607.8,1820.19,0.0,gangeung
2018-01-28,1.45,26069.14,20656.24,19613.2,1043.04,0.0,gangeung
2018-02-04,1.37,28070.22,22531.71,22281.2,250.51,0.0,gangeung
2018-02-11,1.34,28078.4,22959.42,22690.02,269.4,0.0,gangeung
2018-02-18,1.36,25380.68,20046.96,19653.07,393.89,0.0,gangeung
2018-02-25,1.34,23520.36,18886.76,17839.97,1046.79,0.0,gangeung
2018-03-04,1.38,28406.76,22178.07,20545.89,1632.18,0.0,gangeung
2018-03-11,1.3,34357.21,27479.17,25669.77,1809.4,0.0,gangeung
2018-03-18,1.32,31122.09,24234.48,22630.41,1604.07,0.0,gangeung
2018-03-25,1.46,31489.27,25069.0,23054.17,2014.83,0.0,gangeung
