Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.4,103034.09,85271.19,78886.47,6384.72,0.0,gimje
2018-01-07,1.41,126323.33,97174.94,90151.57,7023.37,0.0,gimje
2018-01-14,1.42,106345.74,88536.88,78949.63,9587.25,0.0,gimje
2018-01-14,1.5,146720.73,110418.5,102266.31,8152.19,0.0,gimje
2018-01-21,1.48,105688.73,87864.78,71192.79,16671.99,0.0,gimje
2018-01-21,1.44,138349.93,112553.18,105354.48,7198.7,0.0,gimje
2018-01-28,1.42,137453.79,103733.17,98629.14,5104.03,0.0,gimje
2018-01-28,1.55,103243.02,79946.32,63894.49,16051.83,0.0,gimje
2018-02-04,1.41,135996.73,103084.54,96116.6,6967.94,0.0,gimje
2018-02-04,1.44,96702.5,78166.62,72587.74,5578.88,0.0,gimje
2018-02-11,1.4,128955.64,105500.37,93391.83,12108.54,0.0,gimje
2018-02-11,1.46,103704.87,84899.52,73615.54,11283.98,0.0,gimje
2018-02-18,1.42,134888.08,106325.58,94331.46,11994.12,0.0,gimje
2018-02-18,1.5,103546.73,81771.29,70925.9,10845.39,0.0,gimje
2018-02-25,1.41,126906.61,102079.81,87202.79,14877.02,0.0,gimje
2018-02-25,1.46,115509.8,92493.15,85039.04,7454.11,0.0,gimje
2018-03-04,1.55,122700.54,96737.9,80786.88,15951.02,0.0,gimje
2018-03-04,1.41,144664.26,114162.42,96833.15,17329.27,0.0,gimje
2018-03-11,1.32,179212.94,143608.78,126427.81,17180.97,0.0,gimje
2018-03-11,1.37,113559.93,92171.91,89311.39,2860.52,0.0,gimje
2018-03-18,1.43,119853.94,96764.13,82917.28,13846.85,0.0,gimje
2018-03-18,1.28,154056.32,119971.46,101198.09,18773.37,0.0,gimje
2018-03-25,1.45,121917.39,101486.09,85313.41,16172.68,0.0,gimje
2018-03-25,1.42,163496.7,129163.36,109052.26,20111.1,0.0,gimje
