Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.49,11148.12,9489.62,7538.34,1951.28,0.0,gwangmyeong
2018-01-14,1.97,8138.94,4898.36,2004.4,2893.96,0.0,gwangmyeong
2018-01-14,1.85,4412.54,2313.64,564.45,1749.19,0.0,gwangmyeong
2018-01-21,1.77,6887.8,4504.31,2868.51,1635.8,0.0,gwangmyeong
2018-01-21,1.76,4532.08,2964.23,745.55,2216.3,2.38,gwangmyeong
2018-01-28,1.7,4300.76,2936.26,535.55,2400.71,0.0,gwangmyeong
2018-01-28,1.76,6297.35,4248.3,2360.0,1888.3,0.0,gwangmyeong
2018-02-04,1.69,6493.79,4498.94,2696.67,1802.27,0.0,gwangmyeong
2018-02-04,1.7,4561.62,2560.87,593.4,1948.18,19.29,gwangmyeong
2018-02-11,1.66,4099.32,2524.35,583.17,1941.18,0.0,gwangmyeong
2018-02-11,1.75,7732.34,5529.31,3018.89,2510.42,0.0,gwangmyeong
2018-02-18,1.64,4747.13,3053.72,1301.83,1751.89,0.0,gwangmyeong
2018-02-18,1.76,7007.39,4994.0,2970.0,2024.0,0.0,gwangmyeong
2018-02-25,1.69,7970.31,5649.21,3548.89,2100.32,0.0,gwangmyeong
2018-02-25,1.64,4720.69,2955.37,747.5,2207.87,0.0,gwangmyeong
2018-03-04,1.76,6858.14,3580.9,3054.45,526.45,0.0,gwangmyeong
2018-03-04,1.6,5305.01,2766.69,755.97,2010.72,0.0,gwangmyeong
2018-03-11,1.71,8092.62,4048.72,4022.23,26.49,0.0,gwangmyeong
2018-03-11,1.72,4790.07,2637.62,1042.98,1594.64,0.0,gwangmyeong
2018-03-18,1.6,5793.89,3797.84,837.78,2947.85,12.21,gwangmyeong
2018-03-18,1.8,7105.79,3224.46,3207.79,16.67,0.0,gwangmyeong
2018-03-25,1.82,8210.37,4331.38,3427.78,903.6,0.0,gwangmyeong
2018-03-25,1.59,5750.56,3774.01,638.89,3105.71,29.41,gwangmyeong
