Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.26,19702.51,15050.65,14269.86,780.79,0.0,gyeryong
2018-01-07,1.26,98765.23,64178.0,2054.96,62104.14,18.9,gyeryong
2018-01-14,1.31,18678.63,14124.23,13152.29,971.94,0.0,gyeryong
2018-01-14,2.03,36228.45,16701.5,1630.19,15063.98,7.33,gyeryong
2018-01-21,1.4,17566.45,13106.85,11152.35,1954.5,0.0,gyeryong
2018-01-21,2.02,33986.68,20402.9,1469.79,18905.41,27.7,gyeryong
2018-01-28,1.46,14938.24,9636.73,8443.69,1193.04,0.0,gyeryong
2018-01-28,1.99,35988.0,23442.69,1487.79,21867.48,87.42,gyeryong
2018-02-04,1.42,16666.13,12366.87,11819.92,546.95,0.0,gyeryong
2018-02-04,1.14,124659.55,91140.26,1998.66,88880.93,260.67,gyeryong
2018-02-11,1.47,14289.52,9928.34,8754.94,1173.4,0.0,gyeryong
2018-02-11,1.22,101110.96,67795.64,4818.28,62844.86,132.5,gyeryong
2018-02-18,1.86,40425.93,26505.86,11523.9,14950.62,31.34,gyeryong
2018-02-18,1.43,15443.91,10554.48,9900.82,653.66,0.0,gyeryong
2018-02-25,1.36,105545.72,80954.14,2511.78,78344.09,98.27,gyeryong
2018-02-25,1.41,17191.34,12445.56,12088.07,357.49,0.0,gyeryong
2018-03-04,1.27,156527.16,116740.31,2489.87,114116.48,133.96,gyeryong
2018-03-04,1.44,16468.01,10777.2,9893.94,883.26,0.0,gyeryong
2018-03-11,1.36,17561.89,12337.8,11957.7,380.1,0.0,gyeryong
2018-03-11,1.54,69014.81,41134.34,2974.28,38160.06,0.0,gyeryong
2018-03-18,1.83,45893.2,28554.26,2763.22,25662.29,128.75,gyeryong
2018-03-18,1.35,16296.42,11704.69,10661.48,1043.21,0.0,gyeryong
2018-03-25,1.38,16025.2,11545.96,9882.44,1663.52,0.0,gyeryong
2018-03-25,1.48,96048.46,52889.08,8496.71,44278.26,114.11,gyeryong
