Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.8,87517.23,43134.86,43077.03,57.83,0.0,hanam
2018-01-14,1.68,106624.63,51116.6,51104.4,12.2,0.0,hanam
2018-01-21,1.75,94441.5,60674.11,60647.03,27.08,0.0,hanam
2018-01-28,1.73,97026.15,60603.68,60596.54,7.14,0.0,hanam
2018-02-04,1.6,100274.88,66535.26,66486.1,49.16,0.0,hanam
2018-02-11,1.74,92968.52,57606.13,57577.44,28.69,0.0,hanam
2018-02-18,1.88,88854.41,44528.42,44519.43,8.99,0.0,hanam
2018-02-25,1.74,90985.4,45196.22,45169.68,26.54,0.0,hanam
2018-03-04,1.4,145608.11,103155.62,103108.51,47.11,0.0,hanam
2018-03-11,1.39,141932.83,92199.3,92190.53,8.77,0.0,hanam
2018-03-18,1.72,93566.16,52299.65,52187.11,112.54,0.0,hanam
2018-03-25,1.74,91739.92,50583.0,50420.81,162.19,0.0,hanam
