Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.76,16925.62,10408.11,10364.12,43.99,0.0,iksan
2018-01-14,1.77,13514.36,7099.93,7086.72,13.21,0.0,iksan
2018-01-21,1.78,12112.82,8032.63,8031.33,1.3,0.0,iksan
2018-01-28,1.69,13125.79,9080.36,9073.81,6.55,0.0,iksan
2018-02-04,1.62,14456.1,10184.07,10169.69,14.38,0.0,iksan
2018-02-11,1.43,19026.47,13479.72,13442.8,36.92,0.0,iksan
2018-02-18,1.51,18386.3,12541.35,12509.06,32.29,0.0,iksan
2018-02-25,1.6,19089.16,11046.5,11031.95,14.55,0.0,iksan
2018-03-04,1.69,15349.03,9877.01,9871.72,5.29,0.0,iksan
2018-03-11,1.62,17727.19,12309.48,12278.25,31.23,0.0,iksan
2018-03-18,1.54,15639.44,10088.17,10065.03,23.14,0.0,iksan
2018-03-25,1.52,15372.8,9808.29,9789.7,18.59,0.0,iksan
