Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.15,82282.71,70870.47,70863.8,6.67,0.0,incheon
2018-01-14,1.39,66149.27,54753.43,54746.77,6.66,0.0,incheon
2018-01-21,1.66,38098.21,27319.78,27315.34,4.44,0.0,incheon
2018-01-28,1.55,44059.08,33868.57,33859.68,8.89,0.0,incheon
2018-02-04,1.59,41615.66,32920.24,32904.68,15.56,0.0,incheon
2018-02-11,1.53,46355.69,35769.73,35769.73,0.0,0.0,incheon
2018-02-18,1.52,51564.7,36956.88,36927.99,28.89,0.0,incheon
2018-02-25,1.47,47421.15,37832.13,37822.13,10.0,0.0,incheon
2018-03-04,1.43,43300.77,34475.37,34475.37,0.0,0.0,incheon
2018-03-11,1.44,48044.77,39187.43,39177.43,10.0,0.0,incheon
2018-03-18,1.41,45505.0,37165.89,37157.4,8.49,0.0,incheon
2018-03-25,1.33,57606.42,49973.16,49957.61,15.55,0.0,incheon
