Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.56,7074.23,6345.17,6335.56,9.61,0.0,miryang
2018-01-14,1.55,6659.77,5933.32,5926.66,6.66,0.0,miryang
2018-01-21,1.53,6993.97,6282.21,6278.88,3.33,0.0,miryang
2018-01-28,1.67,8402.79,7073.18,5671.11,1402.07,0.0,miryang
2018-02-04,1.36,7764.86,7096.02,7081.87,14.15,0.0,miryang
2018-02-11,1.48,9487.94,8349.89,7405.55,944.34,0.0,miryang
2018-02-18,1.57,9465.72,7944.76,6697.78,1246.98,0.0,miryang
2018-02-25,1.41,10092.35,9055.35,8597.78,457.57,0.0,miryang
2018-03-04,1.58,10599.98,8993.79,7341.04,1652.75,0.0,miryang
2018-03-11,1.38,8686.28,7795.82,7614.44,181.38,0.0,miryang
2018-03-18,1.58,12161.25,10440.7,8351.9,2088.8,0.0,miryang
2018-03-25,1.45,11040.51,9724.23,8756.67,967.56,0.0,miryang
