Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.38,13878.44,12855.03,12855.03,0.0,0.0,namwon
2018-01-14,1.39,13344.06,11883.5,11880.17,3.33,0.0,namwon
2018-01-21,1.47,7834.07,6519.59,6519.59,0.0,0.0,namwon
2018-01-28,1.38,13137.18,11867.69,11867.69,0.0,0.0,namwon
2018-02-04,1.4,11077.99,9999.53,9999.53,0.0,0.0,namwon
2018-02-11,1.34,14630.14,13690.22,13683.55,6.67,0.0,namwon
2018-02-18,1.36,15123.96,14128.08,14124.75,3.33,0.0,namwon
2018-02-25,1.38,12853.38,11939.98,11933.31,6.67,0.0,namwon
2018-03-04,1.41,13219.33,12153.91,12153.91,0.0,0.0,namwon
2018-03-11,1.41,14486.33,13480.07,13476.74,3.33,0.0,namwon
2018-03-18,1.36,13856.99,12834.25,12827.59,6.66,0.0,namwon
2018-03-25,1.38,16411.89,15444.25,15430.91,13.34,0.0,namwon
