Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.75,26188.31,25637.21,25633.88,3.33,0.0,sangju
2018-01-14,1.46,22637.04,22419.2,22419.2,0.0,0.0,sangju
2018-01-21,1.59,22101.1,21432.31,21432.31,0.0,0.0,sangju
2018-01-28,1.29,50288.63,49904.71,49904.71,0.0,0.0,sangju
2018-02-04,1.57,19108.24,18834.5,18834.5,0.0,0.0,sangju
2018-02-11,1.39,22495.69,22319.46,22319.46,0.0,0.0,sangju
2018-02-18,1.58,29699.89,29504.69,29504.69,0.0,0.0,sangju
2018-02-25,1.5,30553.46,29761.84,29761.84,0.0,0.0,sangju
2018-03-04,1.54,14156.63,13372.08,13328.75,43.33,0.0,sangju
2018-03-11,1.64,18202.54,17857.36,17807.36,50.0,0.0,sangju
2018-03-18,1.62,22375.57,22126.09,22126.09,0.0,0.0,sangju
2018-03-25,1.63,22596.13,22329.02,22329.02,0.0,0.0,sangju
