Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.54,4816.9,4361.22,4357.89,3.33,0.0,seoul
2018-01-07,1.53,15714.11,11113.55,7883.61,3229.94,0.0,seoul
2018-01-14,1.56,16151.7,12276.75,7227.8,5048.95,0.0,seoul
2018-01-14,1.47,4140.95,3831.78,3831.78,0.0,0.0,seoul
2018-01-21,1.54,3346.54,3078.86,3078.86,0.0,0.0,seoul
2018-01-21,1.64,18554.97,14238.26,6204.43,8033.83,0.0,seoul
2018-01-28,1.32,6987.56,6178.94,6178.94,0.0,0.0,seoul
2018-01-28,1.67,14446.26,8925.61,5602.18,3323.43,0.0,seoul
2018-02-04,1.52,4124.96,3586.22,3586.22,0.0,0.0,seoul
2018-02-04,1.62,11900.41,7473.57,5731.98,1741.59,0.0,seoul
2018-02-11,1.43,3817.93,3468.9,3468.9,0.0,0.0,seoul
2018-02-11,1.55,14843.93,10501.29,7478.35,3022.94,0.0,seoul
2018-02-18,1.43,7566.17,3000.02,3000.02,0.0,0.0,seoul
2018-02-18,1.56,11165.57,6698.29,5920.95,777.34,0.0,seoul
2018-02-25,1.55,15348.44,9695.43,9065.3,630.13,0.0,seoul
2018-02-25,1.56,5356.63,4007.48,4007.48,0.0,0.0,seoul
2018-03-04,1.66,17082.0,11169.12,9691.97,1477.15,0.0,seoul
2018-03-04,1.48,3851.3,3242.98,3239.65,3.33,0.0,seoul
2018-03-11,1.68,2570.52,2209.29,2209.29,0.0,0.0,seoul
2018-03-11,1.43,23042.99,17228.15,16438.54,789.61,0.0,seoul
2018-03-18,1.66,3154.45,2580.6,2577.27,3.33,0.0,seoul
2018-03-18,1.48,19014.68,12976.52,9134.72,3841.8,0.0,seoul
2018-03-25,1.56,18717.08,14305.03,9398.45,4906.58,0.0,seoul
2018-03-25,1.71,2321.82,2006.46,1996.46,10.0,0.0,seoul
