Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.72,61712.85,41198.32,30082.97,11112.64,2.71,siheung
2018-01-14,1.73,63884.71,43274.22,29216.82,14057.4,0.0,siheung
2018-01-21,1.69,65835.39,45469.95,32422.77,13047.18,0.0,siheung
2018-01-28,1.64,56920.22,39729.54,27818.91,11910.63,0.0,siheung
2018-02-04,1.55,62817.64,44414.52,32571.57,11842.95,0.0,siheung
2018-02-11,1.55,74511.33,54798.26,38151.7,16646.56,0.0,siheung
2018-02-18,1.63,66740.04,46006.22,30261.94,15744.28,0.0,siheung
2018-02-25,1.57,76998.78,53292.84,35159.1,18133.74,0.0,siheung
2018-03-04,1.55,74156.41,50923.86,35751.36,15172.5,0.0,siheung
2018-03-11,1.55,72624.66,48512.57,37059.78,11452.79,0.0,siheung
2018-03-18,1.58,69790.75,44559.86,32906.16,11653.7,0.0,siheung
2018-03-25,1.54,74180.36,50242.33,38235.54,12006.79,0.0,siheung
