Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.75,264448.77,216888.85,205469.1,11419.75,0.0,wonju
2018-01-14,1.67,272690.13,224814.43,206708.26,18106.17,0.0,wonju
2018-01-21,1.75,215742.94,176974.2,167900.81,9073.39,0.0,wonju
2018-01-28,1.56,319174.35,249388.28,242631.48,6756.8,0.0,wonju
2018-02-04,1.66,273309.58,214639.52,188630.21,26009.31,0.0,wonju
2018-02-11,1.69,233976.66,194182.7,175554.11,18628.59,0.0,wonju
2018-02-18,1.39,793464.77,216353.01,197949.51,18403.5,0.0,wonju
2018-02-25,1.63,303577.39,213503.49,193020.88,20482.61,0.0,wonju
2018-03-04,1.65,313200.35,183955.12,168196.82,15758.3,0.0,wonju
2018-03-11,1.76,288008.65,213981.71,185792.45,28189.26,0.0,wonju
2018-03-18,1.64,419607.75,226684.08,195973.16,30710.92,0.0,wonju
2018-03-25,1.58,374859.68,296468.94,265716.88,30752.06,0.0,wonju
