Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.18,24634.86,20576.66,19899.04,677.62,0.0,yangju
2018-01-07,1.02,48277.42,41527.4,41246.49,280.91,0.0,yangju
2018-01-14,1.53,23359.01,16119.41,15798.76,320.65,0.0,yangju
2018-01-14,1.33,18253.0,14348.08,13243.48,1104.6,0.0,yangju
2018-01-21,1.58,12458.09,8037.43,6246.99,1790.44,0.0,yangju
2018-01-21,1.86,14627.48,8362.27,8026.25,336.02,0.0,yangju
2018-01-28,1.44,15001.51,10550.83,9656.85,893.98,0.0,yangju
2018-01-28,1.9,13996.05,7199.75,6924.72,275.03,0.0,yangju
2018-02-04,2.25,14635.63,9226.43,9000.42,226.01,0.0,yangju
2018-02-04,1.41,16592.21,12933.47,12581.65,351.82,0.0,yangju
2018-02-11,2.04,11804.91,6786.16,6660.68,125.48,0.0,yangju
2018-02-11,1.36,18050.24,14734.16,13970.51,763.65,0.0,yangju
2018-02-18,1.99,14240.92,8282.77,8197.97,84.8,0.0,yangju
2018-02-18,1.45,14413.06,10467.93,10254.64,213.29,0.0,yangju
2018-02-25,1.42,18023.03,14162.12,11982.32,2179.8,0.0,yangju
2018-02-25,1.97,14215.62,8252.59,7736.17,516.42,0.0,yangju
2018-03-04,1.43,14173.27,10002.44,9479.36,523.08,0.0,yangju
2018-03-04,1.98,15008.91,8377.38,8147.84,229.54,0.0,yangju
2018-03-11,2.02,13869.87,7050.2,6823.87,226.33,0.0,yangju
2018-03-11,1.35,16213.23,12089.39,11655.63,433.76,0.0,yangju
2018-03-18,1.93,14027.44,7834.69,7330.45,504.24,0.0,yangju
2018-03-18,1.32,15940.36,12069.11,10904.32,1164.79,0.0,yangju
2018-03-25,1.42,17340.49,13485.11,12149.49,1335.62,0.0,yangju
2018-03-25,2.02,13379.77,7271.4,6881.8,389.6,0.0,yangju
