Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.22,23120.43,18452.29,16829.87,1622.42,0.0,andong
2018-01-14,1.32,20636.96,16598.98,15422.79,1176.19,0.0,andong
2018-01-21,1.41,22121.43,17890.6,11215.49,6675.11,0.0,andong
2018-01-28,1.29,20073.36,16298.93,12972.63,3326.3,0.0,andong
2018-02-04,1.32,17541.66,14480.83,13820.72,660.11,0.0,andong
2018-02-11,1.36,16655.03,13547.38,12740.25,807.13,0.0,andong
2018-02-18,1.34,14647.97,11579.79,11571.98,7.81,0.0,andong
2018-02-25,1.45,15973.44,12410.38,10325.46,2084.92,0.0,andong
2018-03-04,1.16,24533.53,21232.97,20853.85,379.12,0.0,andong
2018-03-11,1.23,52514.65,30687.37,27074.68,3612.69,0.0,andong
2018-03-18,1.2,63356.5,43210.85,22871.48,20339.37,0.0,andong
2018-03-25,1.43,20507.49,16887.0,13920.18,2966.82,0.0,andong
