Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.4,224698.1,160398.29,126158.83,34239.46,0.0,boryeong
2018-01-07,1.62,17489.58,12014.15,11988.14,26.01,0.0,boryeong
2018-01-14,1.93,16205.22,10969.54,10919.54,50.0,0.0,boryeong
2018-01-14,1.45,243959.31,179739.93,130909.33,48830.6,0.0,boryeong
2018-01-21,1.41,235021.5,176491.02,89986.79,86504.23,0.0,boryeong
2018-01-21,1.87,13766.76,9394.11,9351.8,42.31,0.0,boryeong
2018-01-28,1.71,13888.04,9264.84,8940.04,324.8,0.0,boryeong
2018-01-28,1.42,200318.01,141507.43,101734.66,39772.77,0.0,boryeong
2018-02-04,1.45,185270.31,126791.01,114470.1,12320.91,0.0,boryeong
2018-02-04,1.63,17074.83,13498.67,13066.82,431.85,0.0,boryeong
2018-02-11,1.44,175088.87,123641.16,109613.32,14027.84,0.0,boryeong
2018-02-11,1.57,15986.17,12693.57,12437.35,256.22,0.0,boryeong
2018-02-18,,17597.12,13776.71,13553.53,223.18,0.0,boryeong
2018-02-18,1.45,157146.89,108112.62,98871.98,9240.64,0.0,boryeong
2018-02-25,1.49,176612.49,119576.4,86332.21,33244.19,0.0,boryeong
2018-02-25,1.57,18421.24,13964.33,13698.27,266.06,0.0,boryeong
2018-03-04,1.54,17393.3,13655.49,13401.93,253.56,0.0,boryeong
2018-03-04,1.33,222950.32,147949.04,119193.36,28755.68,0.0,boryeong
2018-03-11,1.56,22128.42,16762.57,16510.32,252.25,0.0,boryeong
2018-03-11,1.31,324172.31,199137.6,158988.83,40148.77,0.0,boryeong
2018-03-18,1.56,15896.38,12341.48,12114.81,226.67,0.0,boryeong
2018-03-18,1.3,320320.99,212031.79,138687.27,73344.52,0.0,boryeong
2018-03-25,1.62,15303.4,10806.44,10569.8,236.64,0.0,boryeong
2018-03-25,1.47,182492.41,125061.81,102033.82,23027.99,0.0,boryeong
