Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,2.03,15204.66,10405.77,10405.77,0.0,0.0,chungju
2018-01-07,1.51,21095.12,20560.99,20550.99,10.0,0.0,chungju
2018-01-07,1.48,297190.6,199330.12,103761.55,95544.39,24.18,chungju
2018-01-07,1.51,1517332.7,1089861.24,915452.78,174381.57,26.89,chungju
2018-01-14,1.59,1476651.08,1005593.78,858772.69,146808.97,12.12,chungju
2018-01-14,1.82,207999.67,126261.89,89115.78,37133.99,12.12,chungju
2018-01-14,2.02,14448.86,9915.9,9911.02,4.88,0.0,chungju
2018-01-14,1.45,23826.74,23446.63,23446.63,0.0,0.0,chungju
2018-01-21,1.59,15829.03,15417.59,15410.91,6.68,0.0,chungju
2018-01-21,2.12,12308.98,8113.16,8079.06,34.1,0.0,chungju
2018-01-21,1.83,189317.99,128267.76,76091.99,51947.5,228.27,chungju
2018-01-21,1.63,1283987.65,914409.26,710654.4,203526.59,228.27,chungju
2018-01-28,1.61,1336979.09,936859.49,796104.27,140652.84,102.38,chungju
2018-01-28,1.9,18973.89,8340.8,8340.8,0.0,0.0,chungju
2018-01-28,1.49,21849.91,21141.21,21137.86,3.35,0.0,chungju
2018-01-28,1.8,185974.53,129911.47,77822.23,51986.86,102.38,chungju
2018-02-04,1.5,21055.52,20426.93,20329.15,97.78,0.0,chungju
2018-02-04,1.53,1384683.41,977084.84,774695.74,201878.69,510.41,chungju
2018-02-04,1.41,283378.47,205409.91,70232.59,134666.91,510.41,chungju
2018-02-04,1.94,17404.84,8736.09,8736.09,0.0,0.0,chungju
2018-02-11,1.56,1317000.47,945638.02,768242.42,177144.0,251.6,chungju
2018-02-11,1.47,275248.53,188559.45,88497.05,99810.8,251.6,chungju
2018-02-11,2.1,11883.93,7395.92,7389.71,6.21,0.0,chungju
2018-02-11,1.53,18314.18,17820.88,17798.66,22.22,0.0,chungju
2018-02-18,1.52,1814929.97,886241.96,783017.98,103184.01,39.97,chungju
2018-02-18,1.48,49348.86,7862.17,7566.48,295.69,0.0,chungju
2018-02-18,1.43,26996.61,20137.43,20134.1,3.33,0.0,chungju
2018-02-18,1.64,224798.6,155725.83,120428.13,35257.73,39.97,chungju
2018-02-25,2.05,15721.06,8278.18,8278.18,0.0,0.0,chungju
2018-02-25,1.42,18414.33,17709.7,17706.37,3.33,0.0,chungju
2018-02-25,1.49,301985.61,218560.51,99989.62,118314.77,256.12,chungju
2018-02-25,1.57,1459852.55,994471.5,765056.82,229158.56,256.12,chungju
2018-03-04,1.43,18968.96,17892.58,17889.25,3.33,0.0,chungju
2018-03-04,1.9,27608.16,7354.43,7354.43,0.0,0.0,chungju
2018-03-04,1.46,347373.17,250090.37,85835.17,164087.33,167.87,chungju
2018-03-04,1.52,1634430.77,1099871.68,831885.5,267818.31,167.87,chungju
2018-03-11,1.63,264691.87,176465.63,107174.93,69290.7,0.0,chungju
2018-03-11,1.47,20504.66,19821.09,19811.09,10.0,0.0,chungju
2018-03-11,2.15,17722.27,9143.87,9143.87,0.0,0.0,chungju
2018-03-11,1.52,1664234.88,1124621.5,944572.5,180049.0,0.0,chungju
2018-03-18,1.47,17815.44,16589.4,16589.4,0.0,0.0,chungju
2018-03-18,1.88,31736.66,8474.42,8472.87,1.55,0.0,chungju
2018-03-18,1.73,210067.47,129353.55,73163.12,56020.24,170.19,chungju
2018-03-18,1.54,1675804.22,1058651.5,837351.85,221129.46,170.19,chungju
2018-03-25,1.6,271723.08,166747.85,87108.0,79495.39,144.46,chungju
2018-03-25,1.55,1559967.2,1093861.09,902774.79,190941.84,144.46,chungju
2018-03-25,2.09,20242.65,9148.62,9137.73,10.89,0.0,chungju
2018-03-25,1.36,23169.17,22548.33,22545.0,3.33,0.0,chungju
