Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.83,41573.25,11854.05,11850.72,3.33,0.0,daejon
2018-01-14,1.79,44955.89,13645.06,13635.06,10.0,0.0,daejon
2018-01-21,1.82,36688.67,8470.58,8470.58,0.0,0.0,daejon
2018-01-28,1.72,40770.94,9236.61,9236.61,0.0,0.0,daejon
2018-02-04,1.62,46956.84,13975.3,13975.3,0.0,0.0,daejon
2018-02-11,1.65,38202.17,11267.98,11261.31,6.67,0.0,daejon
2018-02-18,1.66,33678.58,9105.36,9095.36,10.0,0.0,daejon
2018-02-25,1.68,36432.65,6922.17,6908.84,13.33,0.0,daejon
2018-03-04,1.62,46026.58,9664.5,9654.5,10.0,0.0,daejon
2018-03-11,199.0,41969.83,9003.7,8990.36,13.34,0.0,daejon
2018-03-18,1.66,35542.17,8401.9,8398.57,3.33,0.0,daejon
2018-03-25,1.69,35088.36,7213.2,7176.54,36.66,0.0,daejon
