Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.77,2553.9,1562.22,552.06,1010.16,0.0,deagu
2018-01-14,1.81,2130.13,1275.31,350.29,925.02,0.0,deagu
2018-01-21,1.81,2446.13,1827.76,284.43,1541.86,1.47,deagu
2018-01-28,1.78,2419.64,1786.58,294.66,1490.43,1.49,deagu
2018-02-04,1.8,2594.9,1927.6,492.63,1376.55,58.42,deagu
2018-02-11,1.8,2855.33,2017.47,666.38,1351.09,0.0,deagu
2018-02-18,1.82,2275.91,1393.38,725.39,667.99,0.0,deagu
2018-02-25,1.82,2430.16,1614.69,472.96,1141.73,0.0,deagu
2018-03-04,1.79,2980.6,1966.77,526.56,1440.21,0.0,deagu
2018-03-11,,,2422.18,664.03,1758.15,0.0,deagu
2018-03-18,1.85,2550.59,1563.09,287.9,1258.17,17.02,deagu
2018-03-25,1.81,3119.2,2036.65,618.64,1418.01,0.0,deagu
