Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,2.18,6511.97,1746.67,1746.67,0.0,0.0,donghae
2018-01-14,1.6,9939.69,1802.23,1802.23,0.0,0.0,donghae
2018-01-21,1.62,8933.22,1961.12,1961.12,0.0,0.0,donghae
2018-01-28,1.99,7631.73,2253.33,2253.33,0.0,0.0,donghae
2018-02-04,1.5,8713.26,1796.66,1796.66,0.0,0.0,donghae
2018-02-11,1.87,7802.04,2401.11,2401.11,0.0,0.0,donghae
2018-02-18,1.88,8499.84,2822.22,2818.89,3.33,0.0,donghae
2018-02-25,1.78,9497.75,3043.33,3036.67,6.66,0.0,donghae
2018-03-04,1.83,9611.48,3340.0,3340.0,0.0,0.0,donghae
2018-03-11,1.9,8634.75,2756.05,2752.63,3.42,0.0,donghae
2018-03-18,1.68,11828.91,6276.89,6270.22,6.67,0.0,donghae
2018-03-25,1.63,9608.95,4134.42,4124.42,10.0,0.0,donghae
