Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.38,30428.43,21128.64,20778.64,350.0,0.0,geoje
2018-01-14,1.49,35522.77,24400.42,23953.75,446.67,0.0,geoje
2018-01-21,1.41,32722.61,25343.81,25100.48,243.33,0.0,geoje
2018-01-28,1.45,26854.2,16451.26,16394.59,56.67,0.0,geoje
2018-02-04,1.43,27155.44,16774.98,16644.99,129.99,0.0,geoje
2018-02-11,1.4,24385.65,19116.4,19029.73,86.67,0.0,geoje
2018-02-18,1.41,31029.02,24182.3,24082.3,100.0,0.0,geoje
2018-02-25,1.41,25590.99,19800.99,19544.33,256.66,0.0,geoje
2018-03-04,1.37,28699.66,22189.98,21933.32,256.66,0.0,geoje
2018-03-11,1.26,40506.15,31883.7,31440.37,443.33,0.0,geoje
2018-03-18,1.07,30564.4,22910.63,22467.29,443.34,0.0,geoje
2018-03-25,1.31,36999.72,28684.58,28094.58,590.0,0.0,geoje
