Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.46,9885.05,8204.03,5889.7,2314.33,0.0,gimpo
2018-01-14,1.46,13651.18,11544.01,8183.14,3360.87,0.0,gimpo
2018-01-21,1.48,9495.46,7884.46,4149.72,3734.74,0.0,gimpo
2018-01-28,1.4,8935.85,7455.25,4711.37,2743.88,0.0,gimpo
2018-02-04,1.36,9773.21,8144.5,5633.86,2510.64,0.0,gimpo
2018-02-11,1.34,8377.74,7105.49,5468.35,1637.14,0.0,gimpo
2018-02-18,1.34,7478.79,6084.89,3988.42,2096.47,0.0,gimpo
2018-02-25,1.45,9345.93,7761.04,4655.23,3105.81,0.0,gimpo
2018-03-04,1.23,10713.61,8706.42,6217.0,2489.42,0.0,gimpo
2018-03-11,1.22,15216.33,11298.11,8448.16,2849.95,0.0,gimpo
2018-03-18,1.2,17377.59,13122.54,7412.71,5709.83,0.0,gimpo
2018-03-25,1.75,5518.73,4536.93,2944.89,1592.04,0.0,gimpo
2018-03-25,1.28,9506.07,7685.05,3437.74,4247.31,0.0,gimpo
