Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.43,2989.39,2414.68,2400.05,14.63,0.0,gongju
2018-01-14,1.57,2808.84,2171.83,2171.83,0.0,0.0,gongju
2018-01-21,1.77,3510.16,2838.7,2105.56,733.14,0.0,gongju
2018-01-28,2.01,5704.39,4460.39,1776.66,2683.73,0.0,gongju
2018-02-04,1.62,2838.38,2315.58,2008.9,306.68,0.0,gongju
2018-02-11,,5216.61,4208.15,2420.23,1787.92,0.0,gongju
2018-02-18,1.89,5389.68,4142.61,2283.94,1858.67,0.0,gongju
2018-02-25,1.73,4988.75,3967.16,2877.78,1089.38,0.0,gongju
2018-03-04,1.92,6562.68,5208.63,2442.22,2766.41,0.0,gongju
2018-03-11,1.53,3375.33,2661.95,2561.1,100.85,0.0,gongju
2018-03-18,1.6,4077.51,3318.42,2769.35,549.07,0.0,gongju
