Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.73,10293.36,6579.93,6553.06,26.87,0.0,gunpo
2018-01-14,1.98,9883.94,6186.81,6180.41,6.4,0.0,gunpo
2018-01-21,1.91,7491.53,5115.15,5115.15,0.0,0.0,gunpo
2018-01-28,1.78,8672.12,5556.17,5538.46,17.71,0.0,gunpo
2018-02-04,1.79,9503.13,6511.03,6465.39,45.64,0.0,gunpo
2018-02-11,1.7,9399.33,6513.07,6503.74,9.33,0.0,gunpo
2018-02-18,1.64,11078.27,7689.03,7665.64,23.39,0.0,gunpo
2018-02-25,1.66,10302.5,6996.5,6957.59,38.91,0.0,gunpo
2018-03-04,1.66,11529.02,7763.4,7763.4,0.0,0.0,gunpo
2018-03-11,1.62,13792.54,9693.11,9686.91,6.2,0.0,gunpo
2018-03-18,1.66,11198.86,7566.03,7545.71,20.32,0.0,gunpo
2018-03-25,1.65,10720.47,7337.22,7283.04,54.18,0.0,gunpo
