Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.15,12589.45,9816.36,9106.36,710.0,0.0,gwangju
2018-01-14,1.3,10424.33,7827.19,7350.79,476.4,0.0,gwangju
2018-01-21,1.5,8977.97,6512.21,4083.63,2428.58,0.0,gwangju
2018-01-28,1.43,7669.31,5547.21,4090.06,1457.15,0.0,gwangju
2018-02-04,1.47,7422.15,5648.42,5453.09,195.33,0.0,gwangju
2018-02-11,1.42,8970.66,7407.96,7086.27,321.69,0.0,gwangju
2018-02-18,1.44,7807.21,5850.92,5850.92,0.0,0.0,gwangju
2018-02-25,1.57,7371.84,5390.53,4640.71,749.82,0.0,gwangju
2018-03-04,1.48,7617.52,5839.54,5689.68,149.86,0.0,gwangju
2018-03-11,1.26,26620.79,15062.07,12641.49,2420.58,0.0,gwangju
2018-03-18,1.2,32634.06,23327.51,11776.03,11551.48,0.0,gwangju
2018-03-25,1.31,11125.08,9477.78,7760.23,1717.55,0.0,gwangju
