Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,2.3,20151.24,1943.34,1943.34,0.0,0.0,gyeongju
2018-01-07,2.06,16746.82,2229.69,2229.69,0.0,0.0,gyeongju
2018-01-14,1.32,37347.89,3089.51,3089.51,0.0,0.0,gyeongju
2018-01-14,1.81,21770.02,4145.52,4145.52,0.0,0.0,gyeongju
2018-01-21,1.36,27919.45,2883.34,2883.34,0.0,0.0,gyeongju
2018-01-21,1.95,18676.37,8305.51,8305.51,0.0,0.0,gyeongju
2018-01-28,1.91,17579.47,8149.42,8149.42,0.0,0.0,gyeongju
2018-01-28,2.27,20325.75,2148.89,2148.89,0.0,0.0,gyeongju
2018-02-04,,28070.07,2202.21,2202.21,0.0,0.0,gyeongju
2018-02-04,1.81,17454.74,8908.06,8908.06,0.0,0.0,gyeongju
2018-02-11,2.22,21708.65,2533.33,2533.33,0.0,0.0,gyeongju
2018-02-11,1.88,18517.54,9172.77,9172.77,0.0,0.0,gyeongju
2018-02-18,2.05,17875.93,6927.62,6917.62,10.0,0.0,gyeongju
2018-02-18,2.25,21551.76,2286.67,2283.34,3.33,0.0,gyeongju
2018-02-25,2.11,24475.48,3057.77,3057.77,0.0,0.0,gyeongju
2018-02-25,1.83,20171.93,5862.0,5858.67,3.33,0.0,gyeongju
2018-03-04,2.07,25055.39,4715.55,4715.55,0.0,0.0,gyeongju
2018-03-04,1.65,24614.51,12938.12,12934.79,3.33,0.0,gyeongju
2018-03-11,2.16,25741.84,4523.23,4523.23,0.0,0.0,gyeongju
2018-03-11,1.59,25324.3,9692.26,9692.26,0.0,0.0,gyeongju
2018-03-18,1.75,18371.03,6657.12,6657.12,0.0,0.0,gyeongju
2018-03-18,1.86,38845.77,18642.5,18639.17,3.33,0.0,gyeongju
2018-03-25,1.64,34687.2,13805.62,13802.29,3.33,0.0,gyeongju
2018-03-25,1.75,19086.94,7284.56,7284.56,0.0,0.0,gyeongju
