Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.51,7370.53,6927.78,6921.12,6.66,0.0,icheon
2018-01-07,1.25,4764.47,4570.63,3125.05,1445.58,0.0,icheon
2018-01-14,1.53,7238.04,6634.45,6634.45,0.0,0.0,icheon
2018-01-14,1.25,4343.09,4162.74,1986.09,2176.65,0.0,icheon
2018-01-21,1.52,6871.05,6387.3,6375.55,11.75,0.0,icheon
2018-01-21,1.27,3159.8,2994.51,2117.69,876.82,0.0,icheon
2018-01-28,1.61,7695.89,6680.68,5567.39,1113.29,0.0,icheon
2018-01-28,1.19,6393.58,6235.0,5670.94,564.06,0.0,icheon
2018-02-04,1.32,7363.56,6833.66,6827.78,5.88,0.0,icheon
2018-02-04,1.22,6294.16,6056.85,2847.48,3209.37,0.0,icheon
2018-02-11,1.23,4815.48,4689.03,1972.88,2716.15,0.0,icheon
2018-02-11,1.34,8467.46,7940.7,7499.96,440.74,0.0,icheon
2018-02-18,1.5,8534.53,7622.06,6452.23,1169.83,0.0,icheon
2018-02-18,1.3,5092.83,4698.04,2136.41,2561.63,0.0,icheon
2018-02-25,1.3,4162.96,3875.53,1645.95,2229.58,0.0,icheon
2018-02-25,1.37,9144.2,8394.92,7895.92,499.0,0.0,icheon
2018-03-04,1.51,9851.33,8787.79,7327.76,1460.03,0.0,icheon
2018-03-04,1.42,3061.66,2577.21,721.5,1855.71,0.0,icheon
2018-03-11,1.25,4685.01,4455.05,775.9,3679.15,0.0,icheon
2018-03-11,1.31,8115.07,7621.55,7494.08,127.47,0.0,icheon
2018-03-18,1.19,6981.22,6731.03,2782.91,3948.12,0.0,icheon
2018-03-18,1.5,10311.24,9219.19,7687.03,1532.16,0.0,icheon
2018-03-25,1.41,10028.49,9117.12,8208.82,908.3,0.0,icheon
2018-03-25,1.04,14503.47,14276.15,9992.31,4283.84,0.0,icheon
