Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.71,13141.82,7218.83,3380.57,3838.26,0.0,jeju
2018-01-14,1.71,19434.36,12906.39,4369.52,8536.87,0.0,jeju
2018-01-21,1.6,18364.37,12505.81,2688.54,9817.27,0.0,jeju
2018-01-28,1.51,15027.47,9519.66,3133.44,6386.22,0.0,jeju
2018-02-04,1.69,11196.3,6129.41,4339.23,1790.18,0.0,jeju
2018-02-11,1.59,10754.39,6651.2,5192.81,1458.39,0.0,jeju
2018-02-18,1.64,9811.36,4809.8,4698.48,111.32,0.0,jeju
2018-02-25,1.78,15097.8,9822.8,2275.92,7546.88,0.0,jeju
2018-03-04,1.68,11250.57,6019.22,4449.27,1569.95,0.0,jeju
2018-03-11,1.27,34517.3,20948.35,15617.99,5330.36,0.0,jeju
2018-03-18,1.31,28721.72,17284.6,8746.0,8538.6,0.0,jeju
2018-03-25,1.66,15502.38,10464.74,7398.87,3065.87,0.0,jeju
