Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.38,4622.45,3410.99,2226.12,1184.87,0.0,jeonju
2018-01-14,1.54,3737.85,2537.94,1769.94,768.0,0.0,jeonju
2018-01-21,1.6,4170.14,3160.51,1596.03,1564.48,0.0,jeonju
2018-01-28,1.48,3245.58,2208.15,1853.15,355.0,0.0,jeonju
2018-02-04,1.48,3001.55,2051.3,1736.68,314.62,0.0,jeonju
2018-02-11,1.56,2174.66,1285.51,1027.05,258.46,0.0,jeonju
2018-02-18,1.59,2064.9,988.45,975.57,12.88,0.0,jeonju
2018-02-25,1.59,3673.2,2378.92,1487.59,891.33,0.0,jeonju
2018-03-04,1.43,5076.9,4051.79,1959.38,2092.41,0.0,jeonju
2018-03-11,1.35,5905.79,4375.75,2099.42,2276.33,0.0,jeonju
2018-03-18,1.38,4573.23,3205.37,1470.9,1734.47,0.0,jeonju
2018-03-25,1.46,4173.7,3177.06,2031.65,1145.41,0.0,jeonju
