Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.38,39706.28,29847.95,28597.18,1250.77,0.0,pyeongchang
2018-01-14,1.53,36501.82,27213.19,25789.59,1423.6,0.0,pyeongchang
2018-01-21,1.55,30143.3,21581.7,20613.26,968.44,0.0,pyeongchang
2018-01-28,1.51,27513.73,20794.42,20366.98,427.44,0.0,pyeongchang
2018-02-04,1.51,16458.72,12191.51,12101.76,89.75,0.0,pyeongchang
2018-02-11,1.55,22388.13,16452.35,16367.04,85.31,0.0,pyeongchang
2018-02-18,1.35,36683.22,27970.43,27804.78,165.65,0.0,pyeongchang
2018-02-25,1.39,36823.42,27659.99,26783.45,876.54,0.0,pyeongchang
2018-03-04,1.55,24300.28,17924.31,17177.3,747.01,0.0,pyeongchang
2018-03-11,1.59,31590.9,23865.57,23032.03,833.54,0.0,pyeongchang
2018-03-18,1.67,21352.34,9982.9,9087.45,895.45,0.0,pyeongchang
2018-03-25,1.6,24825.5,17579.09,16514.58,1064.51,0.0,pyeongchang
