Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.43,6860.0,6576.3,6528.88,47.42,0.0,pyeongtaek
2018-01-14,1.42,7130.97,6871.11,6847.77,23.34,0.0,pyeongtaek
2018-01-21,1.42,5509.3,5126.02,5035.55,90.47,0.0,pyeongtaek
2018-01-28,1.43,8245.33,7773.94,7341.1,432.84,0.0,pyeongtaek
2018-02-04,1.35,8345.08,8027.19,7856.66,170.53,0.0,pyeongtaek
2018-02-11,1.36,7801.52,7487.84,7163.33,324.51,0.0,pyeongtaek
2018-02-18,1.39,9239.49,8760.23,8156.67,603.56,0.0,pyeongtaek
2018-02-25,1.35,7788.21,7320.06,7169.99,150.07,0.0,pyeongtaek
2018-03-04,1.39,7466.34,6803.22,6275.55,527.67,0.0,pyeongtaek
2018-03-11,1.36,7149.27,6420.13,6237.77,182.36,0.0,pyeongtaek
2018-03-18,1.35,6622.76,5797.19,5755.56,41.63,0.0,pyeongtaek
2018-03-25,1.36,8024.7,7654.78,7288.89,365.89,0.0,pyeongtaek
