Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.69,27971.66,22159.47,22155.03,4.44,0.0,suncheon
2018-01-14,1.63,30339.71,24451.76,24402.26,49.5,0.0,suncheon
2018-01-21,1.73,23115.66,18336.21,18326.57,9.64,0.0,suncheon
2018-01-28,1.61,28257.18,20649.88,20602.87,47.01,0.0,suncheon
2018-02-04,1.63,27035.57,21163.53,21162.15,1.38,0.0,suncheon
2018-02-11,1.68,20349.55,16344.64,16333.54,11.1,0.0,suncheon
2018-02-18,1.37,75418.33,19102.06,19085.96,16.1,0.0,suncheon
2018-02-25,1.56,31548.98,19014.44,19011.11,3.33,0.0,suncheon
2018-03-04,1.51,33327.68,20502.92,20498.48,4.44,0.0,suncheon
2018-03-11,1.72,29514.08,20459.6,20459.6,0.0,0.0,suncheon
2018-03-18,1.58,40632.46,19793.41,19760.84,32.57,0.0,suncheon
2018-03-25,1.49,37893.5,28682.14,28637.44,44.7,0.0,suncheon
