Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.47,7496.04,7149.33,7135.99,13.34,0.0,suwon
2018-01-14,1.44,7957.68,7703.33,7700.0,3.33,0.0,suwon
2018-01-21,1.46,7557.32,7143.99,7143.99,0.0,0.0,suwon
2018-01-28,1.43,7883.77,7448.87,7448.87,0.0,0.0,suwon
2018-02-04,1.5,9193.3,8342.29,7622.22,720.07,0.0,suwon
2018-02-11,1.4,9320.83,8751.4,8423.13,328.27,0.0,suwon
2018-02-18,1.52,9673.24,8762.49,7794.44,968.05,0.0,suwon
2018-02-25,1.6,10821.89,9274.58,7767.78,1506.8,0.0,suwon
2018-03-04,1.56,11549.64,10236.06,8935.54,1300.52,0.0,suwon
2018-03-11,1.35,7949.82,7594.13,7573.34,20.79,0.0,suwon
2018-03-18,1.37,10458.41,9667.59,9656.48,11.11,0.0,suwon
2018-03-25,1.34,8620.15,8212.03,8212.03,0.0,0.0,suwon
