Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.57,7700.96,5275.21,3330.37,1944.84,0.0,taebaek
2018-01-07,1.22,283583.37,232258.64,223671.12,8587.52,0.0,taebaek
2018-01-14,1.58,7618.85,5179.5,3581.76,1597.74,0.0,taebaek
2018-01-14,1.48,218369.75,163474.24,152552.08,10922.16,0.0,taebaek
2018-01-21,1.68,152056.12,103738.35,84681.87,19056.48,0.0,taebaek
2018-01-21,1.68,8546.3,6405.55,2314.95,4090.6,0.0,taebaek
2018-01-28,1.63,6610.16,4266.26,2704.59,1561.67,0.0,taebaek
2018-01-28,1.62,162896.45,110073.05,101010.31,9062.74,0.0,taebaek
2018-02-04,1.69,158995.14,114996.2,110559.26,4436.94,0.0,taebaek
2018-02-04,1.58,5109.24,3012.77,2310.41,702.36,0.0,taebaek
2018-02-11,1.6,157203.29,112680.21,108074.63,4605.58,0.0,taebaek
2018-02-11,1.36,5194.01,3521.12,3117.67,403.45,0.0,taebaek
2018-02-18,1.62,167151.11,106476.61,104813.94,1662.67,0.0,taebaek
2018-02-18,1.38,5810.43,3759.22,3424.33,334.89,0.0,taebaek
2018-02-25,1.48,10360.85,8059.19,3862.2,4196.99,0.0,taebaek
2018-02-25,1.61,179220.19,128644.87,112039.31,16605.56,0.0,taebaek
2018-03-04,1.5,10565.18,8311.93,6653.26,1658.67,0.0,taebaek
2018-03-04,1.61,170250.03,119114.91,108411.32,10703.59,0.0,taebaek
2018-03-11,1.32,10160.96,7569.28,5132.05,2437.23,0.0,taebaek
2018-03-11,1.53,185141.54,130259.06,119351.93,10907.13,0.0,taebaek
2018-03-18,1.52,179316.2,126416.1,109789.25,16626.85,0.0,taebaek
2018-03-18,1.27,10422.05,8285.75,4797.98,3487.77,0.0,taebaek
2018-03-25,1.55,181040.19,135059.51,125890.81,9168.7,0.0,taebaek
2018-03-25,1.48,7250.69,5447.45,4834.97,612.48,0.0,taebaek
