Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.59,27296.2,16962.32,1579.33,15382.99,0.0,tongyeong
2018-01-14,1.82,20964.96,12556.77,1364.14,11187.07,5.56,tongyeong
2018-01-21,1.8,25108.84,18841.09,1279.19,17489.16,72.74,tongyeong
2018-01-28,1.8,21678.23,16471.55,1006.14,15459.73,5.68,tongyeong
2018-02-04,1.46,35123.48,27834.93,1185.52,26586.83,62.58,tongyeong
2018-02-11,1.56,33493.93,23556.98,1415.85,22087.81,53.32,tongyeong
2018-02-18,1.8,20608.98,13690.38,3448.31,10232.51,9.56,tongyeong
2018-02-25,1.59,28796.94,22490.18,1870.63,20468.87,150.68,tongyeong
2018-03-04,1.57,35296.54,26665.62,1752.33,24882.44,30.85,tongyeong
2018-03-11,1.72,26924.36,18065.3,1900.73,16164.57,0.0,tongyeong
2018-03-18,1.78,26967.79,18475.56,1880.56,16587.23,7.77,tongyeong
2018-03-25,1.66,31275.39,21418.43,1712.1,19700.47,5.86,tongyeong
