Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.17,9115.92,8742.72,4250.19,4492.53,0.0,ulsan
2018-01-14,1.19,10864.95,10412.99,3248.18,7164.81,0.0,ulsan
2018-01-21,1.23,7288.58,6858.97,3581.4,3277.57,0.0,ulsan
2018-01-28,1.17,13405.95,13023.16,11059.23,1963.93,0.0,ulsan
2018-02-04,1.18,14307.71,13921.6,4203.8,9717.8,0.0,ulsan
2018-02-11,1.21,9744.88,9437.78,2907.29,6530.49,0.0,ulsan
2018-02-18,1.23,12131.04,11484.84,5283.46,6201.38,0.0,ulsan
2018-02-25,1.27,11398.35,10467.9,2567.55,7900.35,0.0,ulsan
2018-03-04,1.38,8580.63,7223.6,894.23,6329.37,0.0,ulsan
2018-03-11,1.24,12744.6,11889.5,1124.44,10765.06,0.0,ulsan
2018-03-18,1.17,16113.35,15448.54,4270.87,11177.67,0.0,ulsan
2018-03-25,1.03,38203.98,37536.96,25743.24,11793.72,0.0,ulsan
