Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.48,8893.44,6658.55,6089.92,568.63,0.0,yangsan
2018-01-14,1.55,9598.35,7330.1,5644.04,1686.06,0.0,yangsan
2018-01-21,1.67,7935.53,6082.6,3524.73,2557.87,0.0,yangsan
2018-01-28,1.63,8243.33,5727.74,4884.05,843.69,0.0,yangsan
2018-02-04,1.53,8082.68,6019.62,5345.21,674.41,0.0,yangsan
2018-02-11,1.44,8863.94,6980.42,5962.17,1018.25,0.0,yangsan
2018-02-18,1.49,7517.03,5180.07,5021.41,158.66,0.0,yangsan
2018-02-25,1.56,10168.42,7929.83,5548.04,2381.79,0.0,yangsan
2018-03-04,1.78,6103.89,3784.78,3393.22,391.56,0.0,yangsan
2018-03-11,1.54,8380.75,5974.88,5479.54,495.34,0.0,yangsan
2018-03-18,1.57,9095.2,6404.64,4667.07,1737.57,0.0,yangsan
2018-03-25,1.6,9097.89,7031.31,6152.25,879.06,0.0,yangsan
