Date,Price,Total Volume,Total Boxes,Small Boxes,Large Boxes,XLarge Boxes,Region
2018-01-07,1.97,82637.97,57180.39,57180.39,0.0,0.0,yeoju
2018-01-14,1.91,86632.25,61264.13,60763.71,500.42,0.0,yeoju
2018-01-21,1.91,71760.69,52746.29,52130.98,615.31,0.0,yeoju
2018-01-28,1.75,96380.28,58122.73,56090.23,2032.5,0.0,yeoju
2018-02-04,1.83,93204.08,61660.75,61516.19,144.56,0.0,yeoju
2018-02-11,1.92,79877.83,56761.69,55116.51,1645.18,0.0,yeoju
2018-02-18,1.36,495083.69,56801.77,55583.56,1218.21,0.0,yeoju
2018-02-25,1.72,112128.84,56343.54,56343.54,0.0,0.0,yeoju
2018-03-04,1.69,133768.12,60050.94,59997.6,53.34,0.0,yeoju
2018-03-11,1.92,108114.03,63894.72,63842.58,52.14,0.0,yeoju
2018-03-18,1.7,189434.04,65093.53,64851.08,242.45,0.0,yeoju
2018-03-25,1.86,118503.55,70508.16,70377.52,130.64,0.0,yeoju
